LaunchId,LaunchTime,LaunchStatus,RocketName,RocketOrganisation,Location,LaunchYear,Emissions
817,2019-11-27 03:58:00+00:00,Success,PSLV-XL,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019,142500.0
824,2019-11-03 03:22:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
825,2019-12-27 12:45:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2019,2220750.0
903,2019-04-04 11:01:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
904,2019-07-31 12:10:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
905,2019-12-06 09:34:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
906,2020-04-25 01:51:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,863100.0
911,2020-10-25 19:08:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020,863100.0
912,2019-07-30 05:57:00+00:00,Success,Soyuz 2.1a/Fregat-M,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,863100.0
914,2021-01-17 19:38:00+00:00,Success,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021,100800.0
919,2020-12-29 16:42:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020,863100.0
930,2020-02-06 21:42:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,863100.0
939,2019-03-14 19:14:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
940,2019-07-20 16:28:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
942,2019-08-22 03:38:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
943,2019-09-25 13:57:00+00:00,Success,Soyuz FG,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019,863100.0
944,2020-04-09 08:05:00+00:00,Success,Soyuz 2.1a,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,863100.0
946,2019-11-04 17:43:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019,1476000.0
947,2019-07-13 12:30:00+00:00,Success,Proton-M/DM-3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019,2239200.0
948,2021-06-30 14:47:00+00:00,Success,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021,100800.0
951,2019-04-20 14:41:00+00:00,Success,Long March 3B/E,CASC,"LC-3, Xichang Satellite Launch Center, China",2019,1476000.0
949,2021-08-12 00:13:00+00:00,Failure,GSLV Mk II,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2021,1497600.0
952,2020-05-05 10:00:00+00:00,Success,Long March 5B,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020,2205000.0
956,2020-11-23 20:30:00+00:00,Success,Long March 5,CASC,"LC-101, Wenchang Satellite Launch Center, China",2020,2220750.0
958,2019-12-20 03:22:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
959,2021-11-24 13:06:00+00:00,Success,Soyuz 2.1b,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021,863100.0
963,2019-09-12 03:26:00+00:00,Success,Long March 4B,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2019,900000.0
972,2021-08-17 01:47:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021,376750.0
977,2019-05-30 17:42:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019,2239200.0
985,2020-05-29 20:13:00+00:00,Success,Long March 11,CASC,"Xichang Satellite Launch Center, China",2020,142500.0
1002,2020-11-16 00:27:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,1288350.0
1012,2021-07-21 14:58:00+00:00,Success,Proton-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021,2239200.0
1016,2021-03-25 02:47:00+00:00,Success,Soyuz 2.1b/Fregat,Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021,863100.0
1017,2019-05-27 06:23:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",2019,863100.0
1018,2019-08-05 21:56:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019,2239200.0
1019,2019-08-30 14:00:00+00:00,Success,Rokot/Briz KM,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019,385200.0
1020,2020-09-28 11:20:00+00:00,Success,Soyuz 2.1b/Fregat,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020,863100.0
1022,2020-07-30 21:25:00+00:00,Success,Proton-M/Briz-M,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020,2239200.0
1025,2020-12-14 05:50:00+00:00,Success,Angara A5/Briz-M,VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia",2020,2088450.0
1026,2019-04-04 17:04:00+00:00,Success,Soyuz ST-B/Fregat-MT,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019,863100.0
1027,2020-02-09 01:34:00+00:00,Success,H-IIA 202,MHI,"LA-Y1, Tanegashima Space Center, Japan",2020,945000.0
1057,2019-01-21 05:42:00+00:00,Success,Long March 11,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2019,142500.0
1060,2019-01-10 17:11:00+00:00,Success,Long March 3B/E,CASC,"LC-2, Xichang Satellite Launch Center, China",2019,1476000.0
1070,2019-01-15 00:30:00+00:00,Failure,Simorgh,Iranian Space Agency,"Imam Khomeini Spaceport, Semnan Space Center, Iran",2019,313200.0
